Accident_No,Surface_Cond_Desc,Atmosph_Cond_Desc,Accident_Type_Desc,Day,Light_Condition_Desc,Speed_Zone,Accident_Date,Accident_Time,Alcohol_Influence,Total_Persons_Inv,Inj_Or_Fatal,Lat,Long,LGA
T20140013529,Wet,Raining,Struck Pedestrian,Tuesday,Dark Street lights on,50,2014/07/01,17:30:00,No,2.0,1.0,-38.13589905,145.8566108,BAW BAW
T20140013551,Dry,Clear,Collision with a fixed object,Wednesday,Dark No street lights,110,2014/07/02,03:54:00,Yes,1.0,1.0,-37.50737024,144.6145192,MACEDON RANGES
T20140013562,Dry,Clear,Vehicle overturned (no collision),Wednesday,Day,100,2014/07/02,07:00:00,No,2.0,2.0,-37.45935895,143.4327223,PYRENEES
T20140013605,Dry,Clear,Collision with vehicle,Wednesday,Day,50,2014/07/02,15:40:00,No,1.0,1.0,-37.59351002,143.8396788,BALLARAT
T20140013622,Dry,Clear,Collision with a fixed object,Wednesday,Dusk/Dawn,80,2014/07/02,16:00:00,No,1.0,1.0,-35.26137545,141.226581,MILDURA
T20140013646,Wet,Clear,Collision with a fixed object,Thursday,Dark Street lights on,50,2014/07/03,01:00:00,Yes,1.0,1.0,-38.32657286,142.4993701,WARRNAMBOOL
T20140013650,Dry,Fog,Collision with vehicle,Thursday,Dusk/Dawn,100,2014/07/03,08:10:00,No,2.0,1.0,-36.73203238,142.1380503,HORSHAM
T20140013654,Wet,Clear,No collision and no object struck,Wednesday,Day,80,2014/07/02,14:05:00,No,1.0,1.0,-38.46928052,145.6275023,BASS COAST
T20140013657,Wet,Clear,Collision with vehicle,Thursday,Dusk/Dawn,60,2014/07/03,08:40:00,No,2.0,1.0,-37.56567438,143.8863515,BALLARAT
T20140013663,Dry,Fog,Collision with vehicle,Thursday,Dusk/Dawn,50,2014/07/03,07:15:00,No,2.0,1.0,-37.21239345,145.4217662,MURRINDINDI
T20140013666,Dry,Clear,Struck Pedestrian,Thursday,Day,60,2014/07/03,11:45:00,No,2.0,1.0,-36.38226723,145.4080889,GREATER SHEPPARTON
T20140013678,Dry,Clear,Collision with a fixed object,Thursday,Day,60,2014/07/03,12:34:00,No,1.0,1.0,-37.73825196,142.0171802,SOUTHERN GRAMPIANS
T20140013701,Dry,Clear,Collision with vehicle,Thursday,Day,60,2014/07/03,10:00:00,No,2.0,1.0,-37.59275568,143.8411198,BALLARAT
T20140013708,Wet,Clear,Collision with vehicle,Thursday,Dark Street lights on,50,2014/07/03,19:50:00,Yes,2.0,1.0,-36.77211572,144.2512052,GREATER BENDIGO
T20140013712,Dry,Clear,Collision with vehicle,Thursday,Dusk/Dawn,60,2014/07/03,17:00:00,No,3.0,1.0,-38.16763823,145.9525449,BAW BAW
T20140013718,Dry,Clear,Collision with vehicle,Thursday,Dark Street lights on,60,2014/07/03,20:40:00,Yes,1.0,1.0,-38.37372833,142.49237,WARRNAMBOOL
T20140013723,Dry,Fog,Collision with vehicle,Thursday,Dark No street lights,100,2014/07/03,20:59:00,Yes,2.0,2.0,-38.15741154,146.7473104,WELLINGTON
T20140013742,Dry,Clear,Collision with vehicle,Friday,Day,70,2014/07/04,11:35:00,No,7.0,1.0,-38.0988486,144.3552524,GREATER GEELONG
T20140013750,Dry,Clear,Collision with vehicle,Friday,Day,50,2014/07/04,13:15:00,No,3.0,1.0,-38.12761481,146.5731267,LATROBE
T20140013782,Wet,Raining,Vehicle overturned (no collision),Friday,Dark No street lights,60,2014/07/04,19:21:00,Yes,2.0,1.0,-37.88995989,142.7976509,MOYNE
T20140013793,Dry,Clear,Collision with a fixed object,Saturday,Dark Street lights on,50,2014/07/05,00:00:00,Yes,1.0,1.0,-38.43759963,145.8144003,SOUTH GIPPSLAND
T20140013796,Wet,Clear,Collision with vehicle,Friday,Dark Street lights on,100,2014/07/04,22:30:00,Yes,3.0,1.0,-37.20343585,143.9464638,HEPBURN
T20140013797,Dry,Clear,Collision with a fixed object,Friday,Dark No street lights,100,2014/07/04,06:20:00,No,2.0,1.0,-36.95036025,143.7385909,CENTRAL GOLDFIELDS
T20140013820,Wet,Raining,Collision with a fixed object,Saturday,Day,60,2014/07/05,12:00:00,No,3.0,1.0,-37.15017992,144.1660794,MOUNT ALEXANDER
T20140013830,Icy,Clear,Vehicle overturned (no collision),Saturday,Day,100,2014/07/05,10:10:00,No,1.0,1.0,-37.08912157,147.3838724,EAST GIPPSLAND
T20140013836,Wet,Raining,Vehicle overturned (no collision),Saturday,Day,100,2014/07/05,13:00:00,No,2.0,2.0,-37.45419736,143.5349707,PYRENEES
T20140013839,Wet,Clear,Collision with a fixed object,Saturday,Dusk/Dawn,50,2014/07/05,16:35:00,Yes,3.0,2.0,-36.38032861,145.3620983,GREATER SHEPPARTON
T20140013843,Wet,Raining,Collision with vehicle,Saturday,Day,100,2014/07/05,14:45:00,Yes,5.0,2.0,-38.70289977,143.5745996,COLAC OTWAY
T20140013844,Dry,Clear,Collision with vehicle,Saturday,Dusk/Dawn,60,2014/07/05,16:44:00,Yes,4.0,2.0,-36.72784001,144.2586304,GREATER BENDIGO
T20140013845,Dry,Clear,Collision with vehicle,Saturday,Day,100,2014/07/05,15:15:00,Yes,3.0,1.0,-36.37235997,145.2228618,GREATER SHEPPARTON
T20140013849,Wet,Raining,Vehicle overturned (no collision),Friday,Dark No street lights,110,2014/07/04,23:50:00,Yes,2.0,2.0,-36.11874796,146.6614882,INDIGO
T20140013852,Wet,Raining,Collision with a fixed object,Saturday,Dark No street lights,100,2014/07/05,06:00:00,Yes,1.0,1.0,-37.34367872,145.9682202,MURRINDINDI
T20140013854,Wet,Raining,Collision with vehicle,Saturday,Dark Street lights on,50,2014/07/05,18:08:00,Yes,1.0,1.0,-37.56048138,143.8642337,BALLARAT
T20140013872,Dry,Clear,Struck Pedestrian,Sunday,Dark Street lights on,60,2014/07/06,02:15:00,Yes,2.0,1.0,-36.38194355,145.405818,GREATER SHEPPARTON
T20140013877,Unknown,Not known,Struck Pedestrian,Thursday,Day,50,2014/07/03,10:30:00,No,2.0,1.0,-38.38095961,142.4795591,WARRNAMBOOL
T20140013882,Wet,Raining,Vehicle overturned (no collision),Saturday,Dark No street lights,100,2014/07/05,19:50:00,Yes,2.0,2.0,-37.64622358,148.834581,EAST GIPPSLAND
T20140013885,Wet,Raining,Collision with a fixed object,Friday,Dark No street lights,80,2014/07/04,21:00:00,Yes,1.0,1.0,-37.71170888,146.6654492,WELLINGTON
T20140013889,Wet,Raining,Collision with a fixed object,Sunday,Dark No street lights,60,2014/07/06,05:00:00,Yes,1.0,1.0,-36.81427701,144.2320913,GREATER BENDIGO
T20140013891,Dry,Clear,Collision with vehicle,Sunday,Day,40,2014/07/06,12:50:00,No,4.0,1.0,-36.1273596,144.7494024,CAMPASPE
T20140013894,Wet,Clear,Vehicle overturned (no collision),Sunday,Day,80,2014/07/06,11:28:00,No,2.0,1.0,-36.80781993,145.3167993,STRATHBOGIE
T20140013920,Wet,Clear,Collision with vehicle,Sunday,Dark Street lights on,60,2014/07/06,21:00:00,Yes,3.0,3.0,-37.56107268,143.8489302,BALLARAT
T20140013957,Dry,Clear,Collision with a fixed object,Thursday,Day,80,2014/07/03,10:00:00,No,1.0,1.0,-37.85756182,147.9933817,EAST GIPPSLAND
T20140013964,Dry,Clear,Collision with vehicle,Monday,Dusk/Dawn,60,2014/07/07,16:15:00,No,2.0,1.0,-34.2039041,142.1199584,MILDURA
T20140014000,Dry,Clear,Collision with vehicle,Sunday,Dark No street lights,80,2014/07/06,05:30:00,Yes,3.0,1.0,-38.17093946,144.2918642,GREATER GEELONG
T20140014005,Dry,Clear,Collision with vehicle,Monday,Day,60,2014/07/07,09:45:00,Yes,2.0,2.0,-37.04080496,141.287719,WEST WIMMERA
T20140014020,Dry,Clear,Struck Pedestrian,Saturday,Day,50,2014/07/05,10:00:00,No,1.0,1.0,-38.26008219,144.5334296,GREATER GEELONG
T20140014042,Dry,Clear,Collision with vehicle,Tuesday,Day,50,2014/07/08,12:05:00,No,3.0,1.0,-36.79704753,144.2453831,GREATER BENDIGO
T20140014047,Dry,Clear,Vehicle overturned (no collision),Tuesday,Day,100,2014/07/08,14:30:00,No,1.0,1.0,-36.56668149,144.5629139,GREATER BENDIGO
T20140014076,Dry,Clear,No collision and no object struck,Tuesday,Day,100,2014/07/08,13:00:00,No,1.0,1.0,-38.35593335,146.1081958,SOUTH GIPPSLAND
T20140014080,Dry,Clear,Collision with vehicle,Friday,Day,60,2014/07/04,11:20:00,No,2.0,1.0,-37.43029964,143.3835965,PYRENEES
T20140014088,Wet,Raining,Collision with vehicle,Wednesday,Dusk/Dawn,50,2014/07/09,08:45:00,No,1.0,1.0,-38.11374712,144.6696726,GREATER GEELONG
T20140014096,Dry,Clear,Collision with vehicle,Friday,Dusk/Dawn,60,2014/07/04,17:45:00,Yes,3.0,1.0,-37.54030686,143.8314806,BALLARAT
T20140014111,Dry,Clear,Vehicle overturned (no collision),Wednesday,Day,100,2014/07/09,09:50:00,No,2.0,2.0,-37.78423053,147.799381,EAST GIPPSLAND
T20140014112,Wet,Raining,Struck Pedestrian,Wednesday,Day,60,2014/07/09,10:30:00,No,2.0,1.0,-38.07883993,144.3583874,GREATER GEELONG
T20140014121,Dry,Clear,Collision with vehicle,Wednesday,Day,100,2014/07/09,13:40:00,No,4.0,3.0,-36.06910607,145.4504748,MOIRA
T20140014123,Wet,Raining,Collision with vehicle,Wednesday,Day,60,2014/07/09,15:54:00,No,6.0,2.0,-38.23399716,146.3849651,LATROBE
T20140014131,Wet,Raining,Collision with a fixed object,Wednesday,Day,110,2014/07/09,14:45:00,No,4.0,4.0,-36.21240831,146.4516659,WANGARATTA
T20140014153,Wet,Raining,Collision with a fixed object,Wednesday,Dark No street lights,80,2014/07/09,19:00:00,Yes,1.0,1.0,-38.08773333,142.8193995,MOYNE
T20140014155,Wet,Raining,Collision with vehicle,Wednesday,Dark Street lights on,50,2014/07/09,18:51:00,Yes,2.0,2.0,-38.19236038,146.5468177,LATROBE
T20140014193,Dry,Not known,Collision with a fixed object,Thursday,Dusk/Dawn,100,2014/07/10,06:40:00,No,1.0,1.0,-36.61576,144.6530505,CAMPASPE
T20140014201,Wet,Raining,Vehicle overturned (no collision),Thursday,Day,60,2014/07/10,09:15:00,No,1.0,1.0,-38.21003608,143.1699213,CORANGAMITE
T20140014203,Dry,Clear,Collision with a fixed object,Thursday,Day,50,2014/07/10,11:50:00,No,1.0,1.0,-36.37542087,145.3956974,GREATER SHEPPARTON
T20140014215,Wet,Clear,Collision with a fixed object,Thursday,Dusk/Dawn,60,2014/07/10,16:20:00,No,2.0,1.0,-38.19459958,144.4619972,GREATER GEELONG
T20140014216,Dry,Clear,Collision with vehicle,Thursday,Day,50,2014/07/10,14:15:00,No,2.0,2.0,-38.16470181,144.3492799,GREATER GEELONG
T20140014225,Wet,Raining,Collision with a fixed object,Thursday,Day,100,2014/07/10,15:05:00,No,1.0,1.0,-37.68972151,143.317811,PYRENEES
T20140014229,Wet,Clear,Struck animal,Thursday,Dusk/Dawn,100,2014/07/10,17:55:00,No,4.0,3.0,-38.29688581,143.8013886,COLAC OTWAY
T20140014238,Dry,Clear,Collision with vehicle,Thursday,Dark Street lights on,50,2014/07/10,21:04:00,Yes,1.0,1.0,-37.40450573,144.96755,MITCHELL
T20140014248,Wet,Clear,Collision with a fixed object,Friday,Dusk/Dawn,60,2014/07/11,08:40:00,No,1.0,1.0,-36.12368778,146.8820505,WODONGA
T20140014251,Unknown,Not known,Collision with vehicle,Thursday,Day,70,2014/07/10,12:00:00,No,2.0,2.0,-36.73789004,142.2055607,HORSHAM
T20140014256,Wet,Clear,Collision with a fixed object,Friday,Dusk/Dawn,80,2014/07/11,07:55:00,No,2.0,2.0,-38.20355894,146.0631602,BAW BAW
T20140014261,Wet,Raining,Collision with a fixed object,Tuesday,Dark No street lights,50,2014/07/08,20:00:00,Yes,1.0,1.0,-37.12181944,144.8584729,MITCHELL
T20140014266,Wet,Raining,Collision with vehicle,Thursday,Dark No street lights,110,2014/07/10,19:25:00,Yes,3.0,1.0,-37.50250894,144.9520073,MITCHELL
T20140014267,Wet,Raining,Collision with vehicle,Friday,Day,60,2014/07/11,12:35:00,No,2.0,1.0,-36.79407647,145.1516709,STRATHBOGIE
T20140014269,Dry,Clear,Collision with a fixed object,Friday,Day,100,2014/07/11,12:40:00,No,1.0,1.0,-38.08844234,144.2452354,GOLDEN PLAINS
T20140014270,Wet,Raining,Collision with vehicle,Friday,Day,50,2014/07/11,10:22:00,No,6.0,1.0,-36.77103839,144.2501362,GREATER BENDIGO
T20140014284,Dry,Clear,Vehicle overturned (no collision),Friday,Day,100,2014/07/11,14:05:00,No,2.0,2.0,-38.17672041,147.2061331,WELLINGTON
T20140014289,Wet,Raining,Collision with vehicle,Friday,Day,100,2014/07/11,13:39:00,No,3.0,2.0,-36.58469968,147.0933452,ALPINE
T20140014316,Dry,Clear,Collision with vehicle,Friday,Day,60,2014/07/11,09:45:00,No,2.0,1.0,-38.16170392,144.3541106,GREATER GEELONG
T20140014317,Wet,Raining,Collision with vehicle,Friday,Dark Street lights on,50,2014/07/11,20:00:00,Yes,3.0,1.0,-37.31043868,144.949561,MITCHELL
T20140014320,Dry,Clear,Collision with vehicle,Friday,Dark Street lights on,50,2014/07/11,19:25:00,Yes,4.0,2.0,-37.56334512,143.8636999,BALLARAT
T20140014332,Wet,Clear,Struck Pedestrian,Friday,Dark Street lights on,60,2014/07/11,19:30:00,Yes,2.0,1.0,-37.56129006,143.8533805,BALLARAT
T20140014334,Wet,Raining,Collision with vehicle,Friday,Dark Street lights on,60,2014/07/11,21:00:00,Yes,2.0,1.0,-38.11201125,144.331298,GREATER GEELONG
T20140014376,Wet,Clear,Collision with a fixed object,Saturday,Day,100,2014/07/12,12:05:00,No,1.0,1.0,-37.35667119,144.1864268,HEPBURN
T20140014378,Wet,Raining,Collision with a fixed object,Saturday,Day,999,2014/07/12,11:30:00,No,1.0,1.0,-37.91139537,146.6702127,WELLINGTON
T20140014379,Dry,Not known,Collision with vehicle,Saturday,Day,60,2014/07/12,13:30:00,No,4.0,3.0,-38.17792041,144.3827736,GREATER GEELONG
T20140014382,Dry,Clear,Collision with a fixed object,Saturday,Day,100,2014/07/12,12:37:00,No,1.0,1.0,-37.2100594,144.2402916,HEPBURN
T20140014395,Dry,Clear,Collision with a fixed object,Saturday,Dusk/Dawn,50,2014/07/12,17:20:00,Yes,1.0,1.0,-36.55581873,146.7326012,ALPINE
T20140014408,Wet,Clear,Collision with a fixed object,Saturday,Dark Street lights on,60,2014/07/12,21:30:00,Yes,1.0,1.0,-36.75152107,145.5645714,STRATHBOGIE
T20140014412,Wet,Raining,Collision with a fixed object,Saturday,Dark No street lights,100,2014/07/12,02:20:00,Yes,1.0,1.0,-38.06998884,147.0896924,WELLINGTON
T20140014435,Dry,Clear,Collision with vehicle,Sunday,Day,110,2014/07/13,12:15:00,No,2.0,1.0,-37.09602617,144.3550812,MOUNT ALEXANDER
T20140014444,Wet,Clear,No collision and no object struck,Sunday,Day,999,2014/07/13,11:00:00,No,1.0,1.0,-37.8534817,146.6787301,WELLINGTON
T20140014449,Dry,Clear,No collision and no object struck,Sunday,Day,100,2014/07/13,11:25:00,No,1.0,1.0,-36.6490282,143.7026368,LODDON
T20140014461,Dry,Clear,Collision with vehicle,Sunday,Dark No street lights,80,2014/07/13,20:00:00,Yes,3.0,1.0,-35.95601176,144.35866,CAMPASPE
T20140014468,Dry,Clear,Collision with vehicle,Friday,Dark Street lights on,60,2014/07/11,22:40:00,Yes,2.0,1.0,-36.74691865,144.2581089,GREATER BENDIGO
T20140014471,Wet,Clear,Collision with a fixed object,Thursday,Dark Street lights on,80,2014/07/10,22:35:00,Yes,1.0,1.0,-38.19744344,146.2523073,LATROBE
T20140014478,Muddy,Clear,No collision and no object struck,Sunday,Dusk/Dawn,999,2014/07/13,16:20:00,Yes,1.0,1.0,-37.95660717,146.6474872,WELLINGTON
T20140014479,Dry,Clear,Collision with vehicle,Wednesday,Day,60,2014/07/02,10:30:00,No,2.0,1.0,-38.10464293,144.3445692,GREATER GEELONG
T20140014481,Wet,Clear,No collision and no object struck,Saturday,Day,999,2014/07/12,11:31:00,No,1.0,1.0,-37.83954395,146.6370898,WELLINGTON
T20140014482,Dry,Clear,Collision with a fixed object,Sunday,Dusk/Dawn,100,2014/07/13,17:35:00,Yes,2.0,1.0,-35.73304,143.5135867,GANNAWARRA
T20140014488,Dry,Clear,Collision with a fixed object,Monday,Day,60,2014/07/14,10:40:00,No,1.0,1.0,-38.37430164,142.4374798,WARRNAMBOOL
T20140014501,Dry,Clear,Collision with vehicle,Monday,Day,60,2014/07/14,13:30:00,No,2.0,1.0,-36.69655068,144.3226866,GREATER BENDIGO
T20140014509,Dry,Clear,Collision with vehicle,Thursday,Dark Street lights on,50,2014/07/10,21:55:00,Yes,3.0,1.0,-34.19411295,142.1514692,MILDURA
T20140014510,Dry,Clear,Vehicle overturned (no collision),Monday,Day,100,2014/07/14,15:20:00,No,1.0,1.0,-37.57139998,144.1941303,MOORABOOL
T20140014512,Muddy,Clear,Vehicle overturned (no collision),Saturday,Day,999,2014/07/12,11:30:00,No,1.0,1.0,-38.02118353,146.3189585,BAW BAW
T20140014524,Wet,Raining,Collision with vehicle,Monday,Dark Street lights on,60,2014/07/14,00:20:00,Yes,1.0,1.0,-38.08893956,144.3476363,GREATER GEELONG
T20140014529,Dry,Clear,Collision with vehicle,Saturday,Day,50,2014/07/12,12:30:00,No,2.0,1.0,-38.36915339,141.6122399,GLENELG
T20140014531,Dry,Clear,Collision with a fixed object,Wednesday,Day,110,2014/07/02,15:45:00,No,1.0,1.0,-37.49305857,143.7948614,BALLARAT
T20140014534,Wet,Raining,Collision with a fixed object,Friday,Dark No street lights,999,2014/07/11,20:00:00,Yes,3.0,1.0,-38.0205447,146.3079019,BAW BAW
T20140014562,Wet,Not known,No collision and no object struck,Wednesday,Dusk/Dawn,100,2014/07/09,08:00:00,No,1.0,1.0,-37.47675598,144.484708,MACEDON RANGES
T20140014569,Dry,Clear,Collision with vehicle,Tuesday,Dusk/Dawn,80,2014/07/15,07:00:00,No,2.0,1.0,-38.08670419,145.7776493,BAW BAW
T20140014577,Wet,Raining,Collision with vehicle,Tuesday,Day,50,2014/07/15,14:30:00,No,3.0,1.0,-37.04594401,143.7377944,CENTRAL GOLDFIELDS
T20140014622,Dry,Clear,Struck Pedestrian,Wednesday,Day,999,2014/07/16,11:00:00,No,2.0,1.0,-38.17536002,146.2611002,LATROBE
T20140014625,Dry,Clear,Struck Pedestrian,Wednesday,Day,60,2014/07/16,09:30:00,No,3.0,1.0,-36.75643904,144.285187,GREATER BENDIGO
T20140014640,Dry,Clear,Collision with vehicle,Wednesday,Day,60,2014/07/16,11:15:00,No,4.0,1.0,-38.12030945,144.3415555,GREATER GEELONG
T20140014644,Wet,Not known,Collision with a fixed object,Wednesday,Dusk/Dawn,100,2014/07/16,06:30:00,No,1.0,1.0,-38.58405961,146.6713571,WELLINGTON
T20140014654,Dry,Clear,Vehicle overturned (no collision),Wednesday,Day,100,2014/07/16,13:50:00,No,1.0,1.0,-36.26944001,142.038039,HINDMARSH
T20140014663,Wet,Clear,Collision with vehicle,Wednesday,Dusk/Dawn,60,2014/07/16,17:30:00,No,3.0,1.0,-37.57960977,143.827478,BALLARAT
T20140014664,Dry,Clear,Collision with a fixed object,Wednesday,Dusk/Dawn,100,2014/07/16,16:45:00,No,1.0,1.0,-34.42212436,142.3287489,MILDURA
T20140014681,Dry,Clear,Collision with vehicle,Wednesday,Dusk/Dawn,80,2014/07/16,17:00:00,No,4.0,1.0,-37.44199892,147.831309,EAST GIPPSLAND
T20140014693,Dry,Clear,Collision with a fixed object,Wednesday,Dark No street lights,60,2014/07/16,23:40:00,Yes,1.0,1.0,-38.18370019,144.5503116,GREATER GEELONG
T20140014702,Wet,Clear,Collision with a fixed object,Thursday,Dark No street lights,110,2014/07/17,05:42:00,Yes,1.0,1.0,-38.20806453,146.1259294,BAW BAW
T20140014705,Dry,Clear,Collision with a fixed object,Wednesday,Day,60,2014/07/16,15:20:00,No,1.0,1.0,-38.19521139,146.2610599,LATROBE
T20140014706,Wet,Raining,Collision with vehicle,Monday,Dusk/Dawn,50,2014/07/14,06:30:00,No,2.0,1.0,-36.34062294,146.307026,WANGARATTA
T20140014712,Dry,Clear,Collision with vehicle,Thursday,Day,80,2014/07/17,09:10:00,No,3.0,1.0,-36.44080516,145.3888463,GREATER SHEPPARTON
T20140014713,Dry,Clear,Collision with vehicle,Thursday,Dusk/Dawn,60,2014/07/17,08:30:00,No,5.0,5.0,-34.199443,142.1351335,MILDURA
T20140014714,Dry,Clear,Collision with vehicle,Thursday,Dusk/Dawn,40,2014/07/17,08:49:00,No,2.0,1.0,-37.68556841,144.48897,MOORABOOL
T20140014723,Wet,Clear,Collision with vehicle,Thursday,Day,60,2014/07/17,10:43:00,No,2.0,2.0,-37.88250934,147.9760397,EAST GIPPSLAND
T20140014726,Dry,Clear,Collision with vehicle,Thursday,Day,80,2014/07/17,12:00:00,No,2.0,2.0,-38.08693059,145.7774723,BAW BAW
T20140014729,Wet,Strong winds,Collision with vehicle,Thursday,Day,60,2014/07/17,09:45:00,No,3.0,1.0,-38.07415744,144.3586475,GREATER GEELONG
T20140014759,Wet,Clear,Collision with vehicle,Thursday,Dusk/Dawn,80,2014/07/17,18:20:00,Yes,2.0,1.0,-38.31159945,143.72056,COLAC OTWAY
T20140014767,Wet,Raining,Collision with vehicle,Thursday,Dark Street lights on,60,2014/07/17,18:20:00,Yes,2.0,1.0,-38.09003701,144.3474257,GREATER GEELONG
T20140014774,Wet,Not known,Collision with a fixed object,Friday,Dark No street lights,100,2014/07/18,06:15:00,No,1.0,1.0,-38.13418452,141.7297992,GLENELG
T20140014775,Wet,Raining,Collision with vehicle,Friday,Day,80,2014/07/18,09:20:00,No,3.0,2.0,-38.06877734,144.376836,GREATER GEELONG
T20140014777,Wet,Clear,Collision with vehicle,Friday,Dusk/Dawn,80,2014/07/18,07:25:00,No,4.0,1.0,-38.17838744,144.4202763,GREATER GEELONG
T20140014787,Wet,Raining,Collision with a fixed object,Thursday,Dark No street lights,100,2014/07/17,19:00:00,Yes,1.0,1.0,-38.08801011,143.8538083,GOLDEN PLAINS
T20140014795,Wet,Raining,Collision with vehicle,Friday,Day,40,2014/07/18,09:10:00,No,2.0,1.0,-38.17617965,144.383097,GREATER GEELONG
T20140014805,Wet,Clear,Struck Pedestrian,Friday,Day,50,2014/07/18,14:50:00,No,2.0,1.0,-38.14720984,144.3604701,GREATER GEELONG
T20140014813,Dry,Clear,Collision with vehicle,Friday,Day,100,2014/07/18,15:15:00,No,3.0,2.0,-36.14420593,144.7095244,CAMPASPE
T20140014816,Wet,Raining,Collision with vehicle,Friday,Dusk/Dawn,60,2014/07/18,17:34:00,Yes,2.0,1.0,-38.17908124,144.4222394,GREATER GEELONG
T20140014818,Dry,Clear,Collision with vehicle,Friday,Day,100,2014/07/18,15:00:00,No,5.0,2.0,-38.74244117,143.4222457,COLAC OTWAY
T20140014832,Wet,Raining,Collision with a fixed object,Friday,Dark Street lights on,50,2014/07/18,17:30:00,No,1.0,1.0,-38.3080025,144.3492885,SURF COAST
T20140014837,Wet,Clear,Collision with vehicle,Friday,Dusk/Dawn,60,2014/07/18,17:30:00,Yes,3.0,2.0,-38.19592051,146.5519576,LATROBE
T20140014840,Wet,Clear,Collision with a fixed object,Friday,Dark No street lights,80,2014/07/18,21:56:00,Yes,5.0,3.0,-38.46365155,145.24706,BASS COAST
T20140014860,Dry,Clear,Vehicle overturned (no collision),Saturday,Dusk/Dawn,100,2014/07/19,06:00:00,Yes,1.0,1.0,-34.30856955,142.0800076,MILDURA
T20140014866,Wet,Raining,Collision with vehicle,Saturday,Day,60,2014/07/19,10:00:00,No,2.0,1.0,-38.166471,145.9275391,BAW BAW
T20140014892,Unknown,Clear,No collision and no object struck,Saturday,Day,60,2014/07/19,10:00:00,No,1.0,1.0,-36.80845147,144.2371532,GREATER BENDIGO
T20140014896,Dry,Clear,Collision with vehicle,Saturday,Dusk/Dawn,50,2014/07/19,17:31:00,Yes,2.0,1.0,-36.34973699,146.3059778,WANGARATTA
T20140014897,Dry,Not known,No collision and no object struck,Saturday,Day,50,2014/07/19,14:00:00,Yes,1.0,1.0,-37.38595996,144.0995102,HEPBURN
T20140014898,Dry,Clear,Collision with vehicle,Saturday,Dusk/Dawn,70,2014/07/19,17:24:00,Yes,2.0,1.0,-38.15494027,144.3511923,GREATER GEELONG
T20140014904,Dry,Clear,Collision with vehicle,Saturday,Dusk/Dawn,100,2014/07/19,16:40:00,Yes,3.0,2.0,-37.88204763,145.8724212,BAW BAW
T20140014912,Dry,Clear,Collision with a fixed object,Saturday,Dark No street lights,80,2014/07/19,20:31:00,Yes,2.0,2.0,-37.10604377,144.1919926,MOUNT ALEXANDER
T20140014923,Dry,Clear,Collision with vehicle,Sunday,Dusk/Dawn,60,2014/07/20,08:50:00,Yes,5.0,3.0,-38.13335847,141.629749,GLENELG
T20140014941,Dry,Clear,Collision with vehicle,Sunday,Day,60,2014/07/20,13:45:00,No,2.0,1.0,-37.53648329,143.8597608,BALLARAT
T20140014942,Dry,Clear,Collision with a fixed object,Sunday,Dusk/Dawn,100,2014/07/20,07:45:00,Yes,1.0,1.0,-35.38726333,143.4146618,SWAN HILL
T20140014951,Dry,Clear,Vehicle overturned (no collision),Sunday,Day,50,2014/07/20,14:55:00,No,1.0,1.0,-36.45546952,142.5907895,YARRIAMBIACK
T20140014954,Dry,Clear,Collision with a fixed object,Saturday,Dark No street lights,60,2014/07/19,21:45:00,Yes,3.0,2.0,-38.18937002,146.53919,LATROBE
T20140014956,Dry,Clear,Collision with vehicle,Sunday,Dark No street lights,100,2014/07/20,18:20:00,Yes,4.0,1.0,-38.20522167,146.3241427,LATROBE
T20140014970,Dry,Fog,Collision with vehicle,Sunday,Dark No street lights,100,2014/07/20,19:44:00,Yes,3.0,1.0,-38.01126929,144.4719795,GREATER GEELONG
T20140014994,Dry,Clear,Collision with vehicle,Monday,Day,70,2014/07/21,10:00:00,No,3.0,1.0,-38.36711345,142.4641566,WARRNAMBOOL
T20140014997,Unknown,Not known,Collision with vehicle,Wednesday,Day,50,2014/07/16,10:20:00,No,3.0,1.0,-37.56056682,143.8771068,BALLARAT
T20140015004,Dry,Clear,Collision with vehicle,Saturday,Day,50,2014/07/19,11:35:00,No,2.0,1.0,-36.39507684,145.4027394,GREATER SHEPPARTON
T20140015012,Wet,Clear,No collision and no object struck,Saturday,Day,50,2014/07/19,12:30:00,No,1.0,1.0,-35.84937437,145.5313924,MOIRA
T20140015030,Dry,Clear,Struck animal,Monday,Dusk/Dawn,100,2014/07/21,18:27:00,Yes,2.0,2.0,-35.85907986,144.2261987,GANNAWARRA
T20140015032,Dry,Clear,Collision with vehicle,Monday,Dark Street lights on,50,2014/07/21,19:02:00,Yes,2.0,1.0,-35.34030879,143.5441641,SWAN HILL
T20140015033,Dry,Clear,Collision with vehicle,Monday,Dark Street lights on,60,2014/07/21,20:45:00,Yes,4.0,1.0,-38.60580421,145.5937209,BASS COAST
T20140015043,Dry,Clear,Collision with a fixed object,Wednesday,Day,100,2014/07/02,11:00:00,No,1.0,1.0,-37.33913931,143.1077,ARARAT
T20140015048,Dry,Clear,Collision with vehicle,Wednesday,Dark Street lights on,60,2014/07/16,00:30:00,Yes,2.0,2.0,-36.39493335,145.356181,GREATER SHEPPARTON
T20140015049,Wet,Clear,Collision with vehicle,Saturday,Day,60,2014/07/05,15:30:00,Yes,3.0,1.0,-36.37757551,145.4196714,GREATER SHEPPARTON
