Accident_No,Surface_Cond_Desc,Atmosph_Cond_Desc,Accident_Type_Desc,Day,Light_Condition_Desc,Speed_Zone,Accident_Date,Accident_Time,Alcohol_Influence,Total_Persons_Inv,Inj_Or_Fatal,Lat,Long,LGA
T20180014791,Dry,Clear,Collision with vehicle,Monday,Dark Street lights on,60,2018/08/06,20:10:00,Yes,4.0,2.0,-36.75728058,144.2918285,GREATER BENDIGO
T20180014797,Dry,Not known,Collision with vehicle,Monday,Day,60,2018/08/06,15:20:00,No,2.0,1.0,-37.56647032,143.8377927,BALLARAT
T20180014813,Wet,Clear,Struck animal,Tuesday,Dusk/Dawn,110,2018/08/07,06:45:00,No,1.0,1.0,-34.61839997,142.2276803,MILDURA
T20180014814,Wet,Not known,No collision and no object struck,Saturday,Day,999,2018/07/21,11:30:00,No,1.0,1.0,-37.62292867,144.1647298,MOORABOOL
T20180014815,Dry,Clear,Collision with vehicle,Tuesday,Day,60,2018/08/07,08:47:00,No,2.0,1.0,-34.21546942,142.1260733,MILDURA
T20180014816,Wet,Not known,Vehicle overturned (no collision),Saturday,Dark No street lights,50,2018/05/19,21:30:00,Yes,1.0,1.0,-36.76311996,144.2350406,GREATER BENDIGO
T20180014839,Dry,Clear,Collision with a fixed object,Tuesday,Day,100,2018/08/07,10:55:00,No,2.0,1.0,-37.35828226,143.9809196,HEPBURN
T20180014850,Wet,Raining,Collision with a fixed object,Tuesday,Day,100,2018/08/07,13:10:00,No,1.0,1.0,-37.76777001,143.7797701,GOLDEN PLAINS
T20180014860,Unknown,Not known,Collision with a fixed object,Monday,Dark No street lights,999,2018/08/06,22:17:00,Yes,3.0,1.0,-37.89232406,146.8274768,WELLINGTON
T20180014870,Dry,Clear,Collision with vehicle,Tuesday,Dark Street lights on,60,2018/08/07,17:30:00,No,3.0,1.0,-36.36401003,145.4020403,GREATER SHEPPARTON
